qrCode,buildingId,unitNumber,type,brandModel,status,المبنى,تاريخ أول تسجيل,تاريخ آخر زيارة,عدد الزيارات المسجلة,,,,,,,
BS-603-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-603,غسالة,,,الحي التجاري,,,,,,,,,,
BS-603-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-603,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-702-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-702,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-702-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-702,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-702-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-702,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-702-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-702,غسالة,,,الحي التجاري,,,,,,,,,,
BS-702-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-702,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-703-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-703,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-703-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-703,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-703-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-703,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-703-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-703,غسالة,,,الحي التجاري,,,,,,,,,,
BS-703-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-703,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-802-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-802,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-802-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-802,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-802-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-802,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-802-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-802,غسالة,,,الحي التجاري,,,,,,,,,,
BS-802-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-802,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-803-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-803,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-803-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,BS-803,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-803-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,BS-803,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-803-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-803,غسالة,,,الحي التجاري,,,,,,,,,,
BS-803-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-803,ثلاجة,,,الحي التجاري,,,,,,,,,,
M01-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,M01,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
M01-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,M01,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
M01-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,M01,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
M01-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,M01,غسالة,,,الحي التجاري,,,,,,,,,,
M01-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,M01,ثلاجة,,,الحي التجاري,,,,,,,,,,
M02-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,M02,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
M02-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,M02,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
M02-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,M02,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
M02-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,M02,غسالة,,,الحي التجاري,,,,,,,,,,
M02-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,M02,ثلاجة,,,الحي التجاري,,,,,,,,,,
M03-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,M03,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
M03-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,M03,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
M03-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,M03,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
M03-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,M03,غسالة,,,الحي التجاري,,,,,,,,,,
M03-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,M03,ثلاجة,,,الحي التجاري,,,,,,,,,,
M04-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,M04,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
M04-AC-02,a967194c-ba82-46d4-b602-46b4ec973b42,M04,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
M04-AC-03,a967194c-ba82-46d4-b602-46b4ec973b42,M04,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
M04-WM-01,a967194c-ba82-46d4-b602-46b4ec973b42,M04,غسالة,,,الحي التجاري,,,,,,,,,,
M04-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,M04,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-101-A-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-101-A,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-101-A-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-101-A,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-104-A-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-104-A,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-104-A-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-104-A,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-201-A-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-201-A,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-201-A-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-201-A,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-204-A-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-204-A,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-204-A-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-204-A,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-301-A-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-301-A,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-301-A-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-301-A,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-304-A-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-304-A,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-304-A-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-304-A,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-401-A-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-401-A,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-401-A-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-401-A,ثلاجة,,,الحي التجاري,,,,,,,,,,216
BS-404-A-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-404-A,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-404-A-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-404-A,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-501-A-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-501-A,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-501-A-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-501-A,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-504-A-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-504-A,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-504-A-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-504-A,ثلاجة,,,الحي التجاري,,,,,,,,,,
BS-601-A-AC-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-601-A,مكيف سبليت,,,الحي التجاري,,,,,,,,,,
BS-601-A-RF-01,a967194c-ba82-46d4-b602-46b4ec973b42,BS-601-A,ثلاجة,,,الحي التجاري,,,,,,,,,,
